Words	Occurrences	Frequency
interpretation	22	0.09
phrase	22	0.09
define	22	0.09
determine	22	0.09
represent	22	0.09
neural	22	0.09
example	22	0.09
signal	22	0.09
definition	22	0.09
compare	22	0.09
certain	22	0.09
important	22	0.09
formalism	21	0.09
code	21	0.09
morphological	21	0.09
suggest	21	0.09
many	21	0.09
accuracy	21	0.09
require	21	0.09
various	21	0.09
focus	21	0.09
programming	21	0.09
components	21	0.09
specific	21	0.09
search	21	0.09
probabilistic	21	0.09
local	21	0.09
selection	21	0.09
integrate	21	0.09
n	20	0.08
four	20	0.08
argue	20	0.08
tagger	20	0.08
article	20	0.08
channel	20	0.08
question	20	0.08
demonstrate	20	0.08
management	20	0.08
best	19	0.08
plan	19	0.08
combine	19	0.08
constraint	19	0.08
disambiguation	19	0.08
space	19	0.08
speak	19	0.08
scheme	19	0.08
features	19	0.08
resources	19	0.08
view	19	0.08
presented	19	0.08
answer	19	0.08
identify	19	0.08
report	19	0.08
way	19	0.08
parameters	19	0.08
previous	18	0.07
free	18	0.07
address	18	0.07
take	18	0.07
range	18	0.07
rather	18	0.07
describes	18	0.07
analyse	18	0.07
correct	18	0.07
evaluate	18	0.07
solve	18	0.07
processor	18	0.07
given	18	0.07
flexible	18	0.07
virtual	18	0.07
understand	18	0.07
consider	18	0.07
must	18	0.07
dictionary	18	0.07
proposed	18	0.07
strategy	18	0.07
inference	18	0.07
handle	18	0.07
syntax	18	0.07
distribution	18	0.07
description	17	0.07
properties	17	0.07
reason	17	0.07
module	17	0.07
unification	17	0.07
like	17	0.07
component	17	0.07
alternative	17	0.07
user	17	0.07
prototype	17	0.07
derive	17	0.07
better	17	0.07
requirements	17	0.07
examples	17	0.07
recent	17	0.07
well	17	0.07
non	17	0.07
higher	17	0.07
perform	16	0.07
collection	16	0.07
morphology	16	0.07
strategies	16	0.07
power	16	0.07
analyze	16	0.07
useful	16	0.07
environment	16	0.07
basis	16	0.07
quality	16	0.07
transfer	16	0.07
version	16	0.07
extend	16	0.07
initial	16	0.07
experimental	16	0.07
reduce	16	0.07
means	16	0.07
exist	16	0.07
construct	16	0.07
claim	16	0.07
separate	16	0.07
capture	16	0.07
find	16	0.07
flow	15	0.06
addition	15	0.06
probabilities	15	0.06
product	15	0.06
fully	15	0.06
probability	15	0.06
processing	15	0.06
computation	15	0.06
value	15	0.06
drive	15	0.06
adjoin	15	0.06
sample	15	0.06
resolve	15	0.06
called	15	0.06
necessary	15	0.06
attempt	15	0.06
solution	15	0.06
dependency	15	0.06
procedure	15	0.06
leave	15	0.06
rate	15	0.06
small	15	0.06
lexicalize	15	0.06
ncc	15	0.06
noun	15	0.06
applied	15	0.06
s	14	0.06
resource	14	0.06
evaluation	14	0.06
directly	14	0.06
achieve	14	0.06
acquisition	14	0.06
circuit	14	0.06
resolution	14	0.06
obtain	14	0.06
reference	14	0.06
select	14	0.06
variety	14	0.06
theories	14	0.06
protocol	14	0.06
turkish	14	0.06
prediction	14	0.06
predict	14	0.06
manner	14	0.06
within	14	0.06
programs	14	0.06
need	14	0.06
grammatical	14	0.06
x	13	0.05
functional	13	0.05
direct	13	0.05
presents	13	0.05
integration	13	0.05
eighty	13	0.05
potential	13	0.05
complexity	13	0.05
ambiguities	13	0.05
described	13	0.05
advantage	13	0.05
users	13	0.05
respect	13	0.05
lead	13	0.05
aspects	13	0.05
hpsg	13	0.05
capable	13	0.05
several	13	0.05
categories	13	0.05
world	13	0.05
mechanism	13	0.05
incremental	13	0.05
preliminary	13	0.05
much	13	0.05
difficult	13	0.05
allows	13	0.05
effective	13	0.05
parsers	13	0.05
construction	13	0.05
issue	13	0.05
independent	13	0.05
scheduling	13	0.05
existing	13	0.05
appropriate	13	0.05
alignment	13	0.05
integrated	13	0.05
corpora	13	0.05
combination	13	0.05
bilingual	12	0.05
products	12	0.05
offer	12	0.05
technology	12	0.05
involve	12	0.05
sense	12	0.05
among	12	0.05
serial	12	0.05
finite	12	0.05
areas	12	0.05
without	12	0.05
correction	12	0.05
individual	12	0.05
increase	12	0.05
branch	12	0.05
community	12	0.05
structural	12	0.05
follow	12	0.05
thesis	12	0.05
similar	12	0.05
output	12	0.05
complete	12	0.05
illustrate	12	0.05
consist	12	0.05
main	12	0.05
query	12	0.05
heuristic	12	0.05
atm	12	0.05
finally	12	0.05
relate	12	0.05
evidence	12	0.05
easily	12	0.05
measure	12	0.05
may	12	0.05
criteria	12	0.05
contextual	12	0.05
five	12	0.05
decision	11	0.05
purpose	11	0.05
dialogue	11	0.05
body	11	0.05
stochastic	11	0.05
incorporate	11	0.05
nouns	11	0.05
quantifier	11	0.05
field	11	0.05
communications	11	0.05
significantly	11	0.05
agents	11	0.05
position	11	0.05
paradigm	11	0.05
acquire	11	0.05
errors	11	0.05
dependencies	11	0.05
derivation	11	0.05
configuration	11	0.05
effect	11	0.05
compound	11	0.05
previously	11	0.05
partial	11	0.05
contain	11	0.05
entries	11	0.05
scope	11	0.05
fault	11	0.05
real	11	0.05
center	11	0.05
technical	11	0.05
satellite	11	0.05
uncertainty	11	0.05
aim	11	0.05
able	11	0.05
correspond	11	0.05
constructions	11	0.05
experience	11	0.05
area	11	0.05
face	11	0.05
operations	11	0.05
restrictions	11	0.05
match	11	0.05
estimation	11	0.05
approaches	11	0.05
japanese	11	0.05
formalisms	11	0.05
efficiently	11	0.05
amount	11	0.05
